Model,Split,R2,RMSE
Linear,80/20,-0.37092650289943196,3.8228625767012323
Ridge,80/20,-0.16428797718128285,3.522993213897543
Lasso,80/20,-0.036035520857629955,3.323295220985796
Kernel Ridge,80/20,0.0962384385308368,3.103905805911299
GPR,80/20,0.07365616704885158,3.142445160922258
Linear,85/15,-0.25327903910122895,4.0831424689146685
Ridge,85/15,-0.08075615086650845,3.791704669639879
Lasso,85/15,-0.00966044408610589,3.6648678270788615
Kernel Ridge,85/15,0.055760616117678796,3.5441467885548907
GPR,85/15,0.02715886255629585,3.5974238441827366
Linear,90/10,-0.193299653468177,4.763962422382899
Ridge,90/10,-0.034996403161505096,4.436729896932565
Lasso,90/10,-0.0011966317195619691,4.363683664353617
Kernel Ridge,90/10,0.028033062833689337,4.299513490071346
GPR,90/10,0.016207892812866498,4.325588847891183
